epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6280.66,1.30903,1.19894,1.08606,0.77176,0.67193,0.73499,0.48942,1.13694,0.83541,1.00774,0.000369313,0.000369313,0.000369313
2,11050.1,1.22683,0.85786,1.04255,0.74783,0.69283,0.76389,0.49362,1.16867,0.8299,1.01948,0.000666421,0.000666421,0.000666421
3,15800.5,1.19977,0.8105,1.03312,0.78844,0.73379,0.7992,0.52703,1.14485,0.75562,1.01549,0.000890204,0.000890204,0.000890204
4,20863,1.15868,0.75104,1.01565,0.7921,0.77695,0.83067,0.56592,1.07966,0.69836,0.97674,0.000781033,0.000781033,0.000781033
5,26249.9,1.11558,0.695,0.99493,0.84536,0.76738,0.84366,0.57707,1.0498,0.67452,0.97193,0.000671044,0.000671044,0.000671044
6,31021.2,1.07673,0.65356,0.98065,0.8525,0.80801,0.8742,0.60397,1.03917,0.63393,0.96604,0.000561055,0.000561055,0.000561055
7,35585.4,1.03917,0.61464,0.96387,0.87199,0.82397,0.88858,0.62755,1.00258,0.59261,0.9501,0.000451066,0.000451066,0.000451066
8,40138.3,1.00236,0.58095,0.94912,0.86348,0.85152,0.89836,0.64037,0.98564,0.57461,0.94342,0.000341077,0.000341077,0.000341077
